layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mvit_4b.transformers.3.act,SiLU,-0.27846,4.50541,4.50541,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_4b.transformers.3.fc2,Linear,-6.97191,11.85332,11.85332,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mvit_4b.transformers.3,TransformerEncoder,-519.66858,527.15118,527.15118,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mvit_4b.norm,LayerNorm,-1.05811,0.94284,1.05811,2,30,9.313225746154785e-10,2.0,False,Q1.30,32
mvit_4b.fusion.conv1,Conv2d,-1.94448,2.25327,2.25327,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_4b.fusion.bn1,BatchNorm2d,-3.12301,2.55656,3.12301,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_4b.fusion.act1,SiLU,-0.27846,2.37252,2.37252,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_4b.fusion.conv2,Conv2d,-1103.05103,888.17242,1103.05103,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_4b.fusion.bn2,BatchNorm2d,-195.22704,172.68237,195.22704,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mvit_4b.fusion.act2,SiLU,-0.27846,172.68237,172.68237,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mvit_4b.fusion,Fusion,-0.27846,172.68237,172.68237,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mvit_4b,MobileViTBlock,-0.27846,172.68237,172.68237,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_5a.pw_expand.0,Conv2d,-161.34958,177.91396,177.91396,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_5a.pw_expand.1,BatchNorm2d,-609.4267,546.75067,609.4267,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.pw_expand.2,SiLU,-0.27846,546.75067,546.75067,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
