layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.conv_stem.convolution,Conv2d,-3.41638,3.83332,3.83332,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mobilevit.conv_stem.normalization,BatchNorm2d,-15.48043,15.58313,15.58313,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mobilevit.conv_stem.activation,SiLUActivation,-0.27846,15.58313,15.58313,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mobilevit.conv_stem,MobileViTConvLayer,-0.27846,15.58313,15.58313,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mobilevit.encoder.layer.0.layer.0.expand_1x1.convolution,Conv2d,-18.04135,8.34413,18.04135,6,26,1.4901161193847656e-08,32.0,False,Q5.26,32
mobilevit.encoder.layer.0.layer.0.expand_1x1.normalization,BatchNorm2d,-105.01004,53.76774,105.01004,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
mobilevit.encoder.layer.0.layer.0.expand_1x1.activation,SiLUActivation,-0.27846,53.76774,53.76774,7,25,2.9802322387695312e-08,64.0,False,Q6.25,32
mobilevit.encoder.layer.0.layer.0.expand_1x1,MobileViTConvLayer,-0.27846,53.76774,53.76774,7,25,2.9802322387695312e-08,64.0,False,Q6.25,32
mobilevit.encoder.layer.0.layer.0.conv_3x3.convolution,Conv2d,-42.0913,14.2576,42.0913,7,25,2.9802322387695312e-08,64.0,False,Q6.25,32
mobilevit.encoder.layer.0.layer.0.conv_3x3.normalization,BatchNorm2d,-45.99886,48.34627,48.34627,7,25,2.9802322387695312e-08,64.0,False,Q6.25,32
mobilevit.encoder.layer.0.layer.0.conv_3x3.activation,SiLUActivation,-0.27846,48.34627,48.34627,7,25,2.9802322387695312e-08,64.0,False,Q6.25,32
mobilevit.encoder.layer.0.layer.0.conv_3x3,MobileViTConvLayer,-0.27846,48.34627,48.34627,7,25,2.9802322387695312e-08,64.0,False,Q6.25,32
mobilevit.encoder.layer.0.layer.0.reduce_1x1.convolution,Conv2d,-11.70899,15.20229,15.20229,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mobilevit.encoder.layer.0.layer.0.reduce_1x1.normalization,BatchNorm2d,-11.18559,10.84018,11.18559,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mobilevit.encoder.layer.0.layer.0.reduce_1x1,MobileViTConvLayer,-11.18559,10.84018,11.18559,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mobilevit.encoder.layer.0.layer.0,MobileViTInvertedResidual,-9.47268,11.12764,11.12764,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mobilevit.encoder.layer.0,MobileViTMobileNetLayer,-9.47268,11.12764,11.12764,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
