layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.encoder.layer.3.transformer.layer.3.attention,MobileViTAttention,-3.17856,3.26951,3.26951,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3.transformer.layer.3.layernorm_after,LayerNorm,-3.99818,3.17426,3.99818,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3.transformer.layer.3.intermediate.dense,Linear,-8.78628,5.3424,8.78628,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.3.transformer.layer.3.intermediate.intermediate_act_fn,SiLUActivation,-0.27846,5.31696,5.31696,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.3.transformer.layer.3.intermediate,MobileViTIntermediate,-0.27846,5.31696,5.31696,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.3.transformer.layer.3.output.dense,Linear,-8.55566,16.78494,16.78494,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.3.transformer.layer.3.output.dropout,Dropout,-8.55566,16.78494,16.78494,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.3.transformer.layer.3.output,MobileViTOutput,-13.89747,20.56163,20.56163,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.3.transformer.layer.3,MobileViTTransformerLayer,-13.89747,20.56163,20.56163,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.3.transformer,MobileViTTransformer,-13.89747,20.56163,20.56163,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.3.layernorm,LayerNorm,-1.16894,1.01901,1.16894,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.3.conv_projection.convolution,Conv2d,-2.35781,2.58102,2.58102,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3.conv_projection.normalization,BatchNorm2d,-3.4828,2.94493,3.4828,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3.conv_projection.activation,SiLUActivation,-0.27846,2.79776,2.79776,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3.conv_projection,MobileViTConvLayer,-0.27846,2.79776,2.79776,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3.fusion.convolution,Conv2d,-17.62803,11.70255,17.62803,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.3.fusion.normalization,BatchNorm2d,-4.15407,2.99522,4.15407,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.3.fusion.activation,SiLUActivation,-0.27846,2.85252,2.85252,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3.fusion,MobileViTConvLayer,-0.27846,2.85252,2.85252,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.3,MobileViTLayer,-0.27846,2.85252,2.85252,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.downsampling_layer.expand_1x1.convolution,Conv2d,-3.50663,2.80454,3.50663,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.downsampling_layer.expand_1x1.normalization,BatchNorm2d,-8.92974,13.21452,13.21452,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.downsampling_layer.expand_1x1.activation,SiLUActivation,-0.27846,13.2145,13.2145,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.downsampling_layer.expand_1x1,MobileViTConvLayer,-0.27846,13.2145,13.2145,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.downsampling_layer.conv_3x3.convolution,Conv2d,-6.88577,3.1069,6.88577,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.downsampling_layer.conv_3x3.normalization,BatchNorm2d,-4.86501,5.83293,5.83293,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.downsampling_layer.conv_3x3.activation,SiLUActivation,-0.27846,5.81589,5.81589,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.downsampling_layer.conv_3x3,MobileViTConvLayer,-0.27846,5.81589,5.81589,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.downsampling_layer.reduce_1x1.convolution,Conv2d,-5.52478,7.63722,7.63722,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.downsampling_layer.reduce_1x1.normalization,BatchNorm2d,-2.89664,2.24316,2.89664,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.downsampling_layer.reduce_1x1,MobileViTConvLayer,-2.89664,2.24316,2.89664,3,13,0.0001220703125,3.99988,False,Q2.13,16
